使某人处于危险境地,put sb or sth at risk
职业发展的一个严重的挫折,be a serious setback for the career development
缺乏工作安全感,be lack of a sense of job security
分散某人做某事的注意力,distract sb from doing sth
施加沉重的压力于…,impose a heavy strain on
夸张和欺骗,be exaggerated and cheating
是一种不可原谅的侵犯个人隐私权的行为,be the inexcusable invasion of privacy
侵犯自由言论的权利,violate rights of free speech
危及社会稳定性和安全,endanger social stability and safety
阻止某人做…,restrain sb from doing
唤醒公众的反对/反抗/抵抗,arouse resistances in the public
引起某人的兴趣,arouse enthusiasm in sb
激发…的积极性,arouse the enthusiasm of
十分正规的行为,be very orthodox in one's behaviour
和现在工作不协调,be incompatible with the present work
误入歧途,go astray
破坏当地文化,undermine local culture
危害社会的稳定性和安全,jeopardize the safety and stability of the society
给….树立坏榜样,set a bad example to
导致一些物种的灭绝,lead to the extinction of some species
导致能源和自然资源的缺乏,result in shortage of energy and natural resources
是不可挽回和不可逆转的危害,be irreparable and irreversible damage
