加强规则和监督,strengthen the regulation and monitoring
增强政府的闯入/介入/干预,enhance the governmental intrusion
促进法律规则,promote legislative regulations
用全面的方式执行审查,exercise(censorship) in a comprehensive way
增加….的参与,increase the involvement of
制定发展框架,work out a framework of development
增加政府和公众的互动,increase interaction between government and the public
建立和完善社保制度,establish and perfect the social security system
对…给与特殊的照顾,give special care to
优化社会资源配置,optimize social resources allocation
规划…的蓝图,map out a blueprint of
加速基础设施的建设,speed up the construction of infrastructure
充分发挥现有设备的作用,give the full play of the existing facilities
强加一些限制于….,impose some restrictions on
增加…..的输入,increase the inputs in
引发人们的….意识,arouse people's awareness of
采取预防措施,take some preventive measures
执行现场处罚,enforce on-the-spot penalties
发挥大众媒体的作用,play the role of mass media
获得正确的指导和支持,take proper guidance and support
对….施加较严厉的惩罚,impose heavier penalty on
制定有效的法律,set down effective laws
利用科技作为改变…的外观的根本的工具,use science and technology as the ultimate instruments to change the looks of
对..严格限制,place severe restrictions on
给某人一对一全面的服务,give sb a comprehensive person-to-person service
