平衡家庭和工作,keep balance between work and family
提高生活水平,raise the standard of living
渗透生活每个角落,penetrate every corner of our life and be impressive
改善文化全球化,improve cultural integration and globalization
丰富精神生活,enrich people's spiritual life
促进社交能力,promote social skills and competence
增强家庭关系,strengthen the family ties
培养强烈责任感,cultivate a strong sense of responsibility
给某人带来乐趣和安慰,bring joys and comforts to sb
引进崭新的生活方式,usher in a brand-new life-style
减轻….的压力,relieve the pressure of
维护社区稳定,maintain the community stability
改善能源利用,improve the utilization rate of energy resources
充分利用,make full use of
满足人们的需求,satisfy people's needs/meet the demands of people
促进相关产业的发展,promote the development of relative industries
刺激内部需求,stimulate domestic needs
刺激经济发展,impel economic development
带来工作，税收收入,"generate jobs,income and tax revenues"
增进互相理解,enhance mutual understanding
